sample,fastq_1,fastq_2,batch,run
1049FELIX,/labs/jandr/walter/tb/data/SU025/1049FELIX_S65_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1049FELIX_S65_R2_001.fastq.gz,SU025,SU025
1135LG,/labs/jandr/walter/tb/data/SU025/1135LG_S7_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1135LG_S7_R2_001.fastq.gz,SU025,SU025
1162JAVIER,/labs/jandr/walter/tb/data/SU025/1162JAVIER_S67_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1162JAVIER_S67_R2_001.fastq.gz,SU025,SU025
1692-JUANV,/labs/jandr/walter/tb/data/SU025/1692-JUANV_S62_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1692-JUANV_S62_R2_001.fastq.gz,SU025,SU025
1871HL,/labs/jandr/walter/tb/data/SU025/1871HL_S15_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1871HL_S15_R2_001.fastq.gz,SU025,SU025
19463-L9650,/labs/jandr/walter/tb/data/SU025/19463-L9650_S23_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/19463-L9650_S23_R2_001.fastq.gz,SU025,SU025
19509-L1572,/labs/jandr/walter/tb/data/SU025/19509-L1572_S22_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/19509-L1572_S22_R2_001.fastq.gz,SU025,SU025
1957JM,/labs/jandr/walter/tb/data/SU025/1957JM_S16_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/1957JM_S16_R2_001.fastq.gz,SU025,SU025
2143_815IG,/labs/jandr/walter/tb/data/SU025/2143_815IG_S5_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/2143_815IG_S5_R2_001.fastq.gz,SU025,SU025
2L736,/labs/jandr/walter/tb/data/SU025/2L736_S42_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/2L736_S42_R2_001.fastq.gz,SU025,SU025
3227044Y,/labs/jandr/walter/tb/data/SU025/3227044Y_S6_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/3227044Y_S6_R2_001.fastq.gz,SU025,SU025
349,/labs/jandr/walter/tb/data/SU025/349_S47_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/349_S47_R2_001.fastq.gz,SU025,SU025
3573-2,/labs/jandr/walter/tb/data/SU025/3573-2_S60_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/3573-2_S60_R2_001.fastq.gz,SU025,SU025
5195,/labs/jandr/walter/tb/data/SU025/5195_S58_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/5195_S58_R2_001.fastq.gz,SU025,SU025
5247,/labs/jandr/walter/tb/data/SU025/5247_S56_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/5247_S56_R2_001.fastq.gz,SU025,SU025
5297,/labs/jandr/walter/tb/data/SU025/5297_S59_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/5297_S59_R2_001.fastq.gz,SU025,SU025
5935,/labs/jandr/walter/tb/data/SU025/5935_S61_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/5935_S61_R2_001.fastq.gz,SU025,SU025
6357,/labs/jandr/walter/tb/data/SU025/6357_S71_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6357_S71_R2_001.fastq.gz,SU025,SU025
6388,/labs/jandr/walter/tb/data/SU025/6388_S72_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6388_S72_R2_001.fastq.gz,SU025,SU025
6389,/labs/jandr/walter/tb/data/SU025/6389_S73_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6389_S73_R2_001.fastq.gz,SU025,SU025
6392,/labs/jandr/walter/tb/data/SU025/6392_S74_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6392_S74_R2_001.fastq.gz,SU025,SU025
6393,/labs/jandr/walter/tb/data/SU025/6393_S80_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6393_S80_R2_001.fastq.gz,SU025,SU025
644,/labs/jandr/walter/tb/data/SU025/644_S4_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/644_S4_R2_001.fastq.gz,SU025,SU025
6466,/labs/jandr/walter/tb/data/SU025/6466_S79_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6466_S79_R2_001.fastq.gz,SU025,SU025
6503,/labs/jandr/walter/tb/data/SU025/6503_S78_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6503_S78_R2_001.fastq.gz,SU025,SU025
6513,/labs/jandr/walter/tb/data/SU025/6513_S77_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU025/6513_S77_R2_001.fastq.gz,SU025,SU025
