sample,fastq_1,fastq_2,batch,run
1262,/labs/jandr/walter/tb/data/SU027/1262_S81_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/1262_S81_R2_001.fastq.gz,SU027,SU027
1303,/labs/jandr/walter/tb/data/SU027/1303_S284_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/1303_S284_R2_001.fastq.gz,SU027,SU027
15361-L5523,/labs/jandr/walter/tb/data/SU027/15361-L5523_S267_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/15361-L5523_S267_R2_001.fastq.gz,SU027,SU027
15596-L5397,/labs/jandr/walter/tb/data/SU027/15596-L5397_S268_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/15596-L5397_S268_R2_001.fastq.gz,SU027,SU027
15597-L5396,/labs/jandr/walter/tb/data/SU027/15597-L5396_S280_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/15597-L5396_S280_R2_001.fastq.gz,SU027,SU027
1563-L5685,/labs/jandr/walter/tb/data/SU027/1563-L5685_S274_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/1563-L5685_S274_R2_001.fastq.gz,SU027,SU027
1691,/labs/jandr/walter/tb/data/SU027/1691_S251_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/1691_S251_R2_001.fastq.gz,SU027,SU027
1843,/labs/jandr/walter/tb/data/SU027/1843_S250_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/1843_S250_R2_001.fastq.gz,SU027,SU027
2013,/labs/jandr/walter/tb/data/SU027/2013_S248_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/2013_S248_R2_001.fastq.gz,SU027,SU027
2063,/labs/jandr/walter/tb/data/SU027/2063_S244_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/2063_S244_R2_001.fastq.gz,SU027,SU027
2477,/labs/jandr/walter/tb/data/SU027/2477_S265_R1_001.fastq.gz,/labs/jandr/walter/tb/data/SU027/2477_S265_R2_001.fastq.gz,SU027,SU027
